Adj Close	Company Name	Date	记录数	Ticker
11	"Sourcefire"	2014-05-19 00:00:00.000	"1"	"FIRE"
11.65	"Sourcefire"	2014-05-20 00:00:00.000	"1"	"FIRE"
11.71	"Sourcefire"	2014-05-21 00:00:00.000	"1"	"FIRE"
11.68	"Sourcefire"	2014-05-22 00:00:00.000	"1"	"FIRE"
12.05	"Sourcefire"	2014-05-26 00:00:00.000	"1"	"FIRE"
11.92	"Sourcefire"	2014-05-27 00:00:00.000	"1"	"FIRE"
11.69	"Sourcefire"	2014-05-28 00:00:00.000	"1"	"FIRE"
12.17	"Sourcefire"	2014-05-29 00:00:00.000	"1"	"FIRE"
12.95	"Sourcefire"	2014-06-01 00:00:00.000	"1"	"FIRE"
12.66	"Sourcefire"	2014-06-02 00:00:00.000	"1"	"FIRE"
12.38	"Sourcefire"	2014-06-03 00:00:00.000	"1"	"FIRE"
12.14	"Sourcefire"	2014-06-04 00:00:00.000	"1"	"FIRE"
12.51	"Sourcefire"	2014-06-05 00:00:00.000	"1"	"FIRE"
12.6	"Sourcefire"	2014-06-08 00:00:00.000	"1"	"FIRE"
12.77	"Sourcefire"	2014-06-09 00:00:00.000	"1"	"FIRE"
12.8	"Sourcefire"	2014-06-10 00:00:00.000	"1"	"FIRE"
12.74	"Sourcefire"	2014-06-11 00:00:00.000	"1"	"FIRE"
12.45	"Sourcefire"	2014-06-12 00:00:00.000	"1"	"FIRE"
12.09	"Sourcefire"	2014-06-15 00:00:00.000	"1"	"FIRE"
12.05	"Sourcefire"	2014-06-16 00:00:00.000	"1"	"FIRE"
12.14	"Sourcefire"	2014-06-17 00:00:00.000	"1"	"FIRE"
12.04	"Sourcefire"	2014-06-18 00:00:00.000	"1"	"FIRE"
13	"Sourcefire"	2014-06-19 00:00:00.000	"1"	"FIRE"
12.48	"Sourcefire"	2014-06-22 00:00:00.000	"1"	"FIRE"
12.14	"Sourcefire"	2014-06-23 00:00:00.000	"1"	"FIRE"
12.15	"Sourcefire"	2014-06-24 00:00:00.000	"1"	"FIRE"
12.75	"Sourcefire"	2014-06-25 00:00:00.000	"1"	"FIRE"
13.5	"Sourcefire"	2014-06-26 00:00:00.000	"1"	"FIRE"
12.74	"Sourcefire"	2014-06-29 00:00:00.000	"1"	"FIRE"
12.39	"Sourcefire"	2014-06-30 00:00:00.000	"1"	"FIRE"
